Topic-1,Topic-2,Topic-3,Topic-4,Topic-5
"(592, 0.11888738373918815)","(104, 0.003124227742003126)","(63, 0.05020893047387351)","(613, 0.06990246269404561)","(13, 0.07828573834062949)"
"(62, 0.11879418828468896)","(101, 0.0028801837789821506)","(641, 0.05002197684820028)","(509, 0.06985927680321033)","(661, 0.07826661931119476)"
"(646, 0.11877818150995016)","(98, 0.0)","(506, 0.04999640945581788)","(612, 0.069775433473861)","(647, 0.07809743935289208)"
"(548, 0.11859343966810276)","(1, 0.0)","(61, 0.049950948503194856)","(320, 0.06959182340172025)","(587, 0.07806232363249838)"
"(423, 0.11847069160608226)","(10, 0.0)","(666, 0.04972419867077112)","(542, 0.06950255389322654)","(54, 0.07804420305564605)"
"(647, 0.11791207354823086)","(103, 0.0)","(665, 0.04947026334303841)","(507, 0.06948660479737864)","(395, 0.07802191486681244)"
"(38, 0.11721504973638303)","(105, 0.0)","(664, 0.04937589410884969)","(635, 0.06943167386908251)","(21, 0.07800309836710691)"
"(416, 0.11713924670146435)","(107, 0.0)","(591, 0.048875653157022796)","(112, 0.06900114931231922)","(55, 0.07788568751852176)"
"(418, 0.11707174749187906)","(108, 0.0)","(586, 0.04827421499826304)","(500, 0.06896727020517883)","(425, 0.07781936186187287)"
"(417, 0.11703609988197525)","(109, 0.0)","(634, 0.04811828418664767)","(59, 0.06878671495371297)","(191, 0.07774400360906267)"
"(673, 0.11658244526139515)","(114, 0.0)","(76, 0.04733314406604474)","(491, 0.06842262450959885)","(598, 0.07771888667084348)"
"(429, 0.11550544048416604)","(116, 0.0)","(70, 0.04729918618004513)","(589, 0.06813903533548123)","(392, 0.07755878750542972)"
"(37, 0.11550049919184742)","(117, 0.0)","(21, 0.0468622847852083)","(493, 0.06776184525778979)","(169, 0.07727625642822541)"
"(638, 0.11487587860846735)","(120, 0.0)","(679, 0.04685727582990909)","(49, 0.0675435732262723)","(192, 0.07723914388663679)"
"(181, 0.11477688285162649)","(121, 0.0)","(561, 0.04672702215188025)","(511, 0.06746321124604857)","(590, 0.07715537598548299)"
"(555, 0.11452091026067973)","(124, 0.0)","(306, 0.04670068507601354)","(11, 0.06737106836333379)","(667, 0.07712084811598253)"
"(330, 0.11407295468938174)","(125, 0.0)","(305, 0.04645994205938364)","(464, 0.0672587070659756)","(571, 0.07708735920748554)"
"(530, 0.11302905131943933)","(126, 0.0)","(203, 0.046424970205533746)","(492, 0.06720328978354526)","(415, 0.07697824112559636)"
"(680, 0.1116566593635549)","(127, 0.0)","(630, 0.045753707682972385)","(488, 0.06677215913493638)","(321, 0.07695903812399778)"
"(159, 0.11140310658062479)","(128, 0.0)","(193, 0.045627851918774935)","(5, 0.06671969380215773)","(668, 0.07692873440675004)"
"(656, 0.10972079542898071)","(13, 0.0)","(590, 0.0455171540859199)","(95, 0.06660829731331122)","(630, 0.07687038769143542)"
"(440, 0.10971047141336025)","(132, 0.0)","(551, 0.0452276394003987)","(549, 0.0664999918791268)","(74, 0.07656715906583715)"
"(60, 0.10870485304268218)","(133, 0.0)","(54, 0.04485747869059644)","(64, 0.06630933176103533)","(501, 0.07644427925245678)"
"(587, 0.10837418010656535)","(134, 0.0)","(552, 0.04465050890377243)","(502, 0.06611712020648966)","(71, 0.07608610939079027)"
"(560, 0.10783639588552585)","(136, 0.0)","(605, 0.044417209996632026)","(499, 0.0657223458528485)","(75, 0.07598827315457651)"
"(624, 0.10782458532606204)","(137, 0.0)","(537, 0.043961001885641435)","(614, 0.0653939499626488)","(542, 0.0759699151911365)"
"(622, 0.10778349064160467)","(138, 0.0)","(603, 0.04347187366051015)","(663, 0.06536850526257705)","(287, 0.07566391030551547)"
"(52, 0.10753725856618747)","(141, 0.0)","(19, 0.0433636866192822)","(47, 0.06496061402000047)","(548, 0.07559407473751217)"
"(600, 0.10738735774100631)","(142, 0.0)","(71, 0.04331419572693955)","(548, 0.0646539213231817)","(234, 0.07545158250345675)"
"(190, 0.10692587364162287)","(146, 0.0)","(627, 0.04315806411286959)","(638, 0.06437131336488888)","(391, 0.07534448326986148)"
"(329, 0.10689920683769404)","(149, 0.0)","(131, 0.043153886492315434)","(128, 0.06417748903698002)","(31, 0.07499373718793895)"
"(667, 0.10675377778607832)","(15, 0.0)","(293, 0.04302651518268735)","(544, 0.06401824021087146)","(332, 0.07478482643970294)"
"(668, 0.10661341062215064)","(150, 0.0)","(209, 0.042724651844123746)","(467, 0.0639642926115197)","(511, 0.07470093202119994)"
"(98, 0.10636078135001707)","(151, 0.0)","(678, 0.042424649367954925)","(506, 0.0639539943979507)","(533, 0.0744700259169558)"
"(40, 0.10627426215675105)","(153, 0.0)","(604, 0.04220342453818302)","(545, 0.06372935784988379)","(294, 0.07438492727724665)"
"(633, 0.1051678424389112)","(155, 0.0)","(480, 0.04165249973023498)","(580, 0.06370353832640197)","(414, 0.07436289957028643)"
"(662, 0.10499332822999699)","(157, 0.0)","(540, 0.04127563761019995)","(498, 0.06333196686054399)","(70, 0.07418490515389885)"
"(611, 0.1042898402819167)","(158, 0.0)","(194, 0.04108835438911965)","(497, 0.06328788888271031)","(636, 0.07415661883507829)"
"(427, 0.10428187836085998)","(159, 0.0)","(486, 0.04075583255158667)","(505, 0.06324689431952776)","(261, 0.07395898022707804)"
"(569, 0.1040485473590675)","(16, 0.0)","(479, 0.04031075253632976)","(105, 0.06260738470232596)","(493, 0.07392595171279978)"
"(212, 0.10341674449656828)","(160, 0.0)","(59, 0.04026738362283548)","(494, 0.06215793833896799)","(433, 0.07381326672768009)"
"(645, 0.10334428362786442)","(161, 0.0)","(328, 0.039530330141661504)","(523, 0.061953783620687916)","(295, 0.0737523057980615)"
